"name","length","exp number of AAs in TMHs","exp number of AAs in TMHs in the first 60 AAs","predicted number of TMH","topology"
"YP_006986336.1","91","0.00","0.00","0","o"
"YP_006986337.1","193","0.01","0.01","0","o"
"YP_006986338.1","284","2.05","0.00","0","o"
"YP_006986339.1","749","0.01","0.00","0","o"
"YP_006986340.1","162","0.13","0.00","0","o"
"YP_006986341.1","391","4.51","0.00","0","o"
"YP_006986342.1","160","0.03","0.01","0","o"
"YP_006986343.1","138","0.01","0.01","0","i"
"YP_006986344.1","370","0.00","0.00","0","o"
"YP_006986345.1","108","21.48","21.48","1","o10-32i"
"YP_006986346.1","105","0.05","0.04","0","o"
"YP_006986347.1","57","0.00","0.00","0","o"
"YP_006986348.1","295","0.00","0.00","0","o"
"YP_006986349.1","88","0.01","0.00","0","o"
"YP_006986350.1","84","0.01","0.01","0","i"
"YP_006986351.1","176","2.01","2.00","0","o"
"YP_006986352.1","118","0.00","0.00","0","o"
"YP_006986353.1","83","0.00","0.00","0","i"
"YP_006986354.1","139","0.03","0.00","0","o"
"YP_006986355.1","189","23.04","22.62","1","i9-31o"
"YP_006986356.1","120","0.00","0.00","0","o"
"YP_006986357.1","93","0.00","0.00","0","o"
"YP_006986358.1","97","13.54","11.51","0","i"
"YP_006986359.1","146","0.01","0.00","0","o"
"YP_006986360.1","68","45.35","38.79","2","i3-25o45-67i"
"YP_006986361.1","89","23.43","23.39","1","i21-40o"
"YP_006986362.1","73","0.00","0.00","0","o"
"YP_006986363.1","205","0.05","0.00","0","o"
"YP_006986364.1","507","0.03","0.00","0","o"
"YP_006986365.1","90","0.00","0.00","0","o"
"YP_006986366.1","59","10.36","10.36","0","i"
"YP_006986367.1","63","0.00","0.00","0","o"
"YP_006986368.1","95","0.00","0.00","0","i"
"YP_006986369.1","124","0.00","0.00","0","o"
"YP_006986370.1","367","0.01","0.00","0","o"
"YP_006986371.1","192","0.00","0.00","0","o"
"YP_006986372.1","582","1.26","0.00","0","o"
"YP_006986373.1","364","0.94","0.03","0","o"
"YP_006986374.1","287","0.21","0.08","0","o"
"YP_006986375.1","247","0.00","0.00","0","o"
"YP_006986376.1","185","0.00","0.00","0","o"
"YP_006986377.1","130","0.00","0.00","0","o"
"YP_006986378.1","165","0.39","0.39","0","o"
"YP_006986379.1","76","0.05","0.04","0","o"
"YP_006986380.1","71","0.00","0.00","0","i"
"YP_006986381.1","217","5.76","1.66","0","o"
"YP_006986382.1","96","0.02","0.00","0","o"
"YP_006986383.1","49","0.00","0.00","0","i"
"YP_006986384.1","155","0.15","0.15","0","o"
"YP_006986385.1","63","42.01","42.01","2","i2-23o28-50i"
"YP_006986386.1","208","0.04","0.00","0","o"
"YP_006986387.1","748","1.66","0.00","0","o"
"YP_006986388.1","111","0.10","0.07","0","o"
"YP_006986389.1","170","0.00","0.00","0","o"
"YP_006986390.1","77","0.01","0.01","0","o"
"YP_006986391.1","80","0.00","0.00","0","i"
"YP_006986392.1","90","0.00","0.00","0","o"
"YP_006986393.1","92","0.00","0.00","0","o"
"YP_006986394.1","146","0.00","0.00","0","i"
"YP_006986395.1","303","0.01","0.00","0","o"
"YP_006986396.1","86","0.00","0.00","0","o"
"YP_006986397.1","80","0.02","0.00","0","o"
"YP_006986398.1","333","0.00","0.00","0","o"
"YP_006986399.1","131","0.03","0.00","0","o"
"YP_006986400.1","83","0.01","0.01","0","o"
"YP_006986401.1","185","0.00","0.00","0","o"
"YP_006986402.1","90","0.11","0.11","0","o"
"YP_006986403.1","64","0.16","0.16","0","i"
"YP_006986404.1","351","4.35","4.35","0","o"
"YP_006986405.1","304","21.87","21.86","1","i13-35o"
"YP_006986406.1","127","1.43","1.43","0","o"
"YP_006986407.1","94","0.04","0.04","0","i"
"YP_006986408.1","130","0.00","0.00","0","i"
"YP_006986409.1","194","0.00","0.00","0","o"
"YP_006986410.1","65","0.00","0.00","0","o"
"YP_006986411.1","71","0.07","0.07","0","i"
"YP_006986412.1","70","0.00","0.00","0","o"
"YP_006986413.1","165","0.21","0.12","0","o"
"YP_006986414.1","48","19.12","19.12","1","o4-22i"
"YP_006986415.1","106","0.00","0.00","0","o"
"YP_006986416.1","203","0.00","0.00","0","o"
"YP_006986417.1","134","0.02","0.01","0","o"
"YP_006986418.1","215","0.35","0.35","0","o"
"YP_006986419.1","189","0.02","0.00","0","o"
"YP_006986420.1","56","0.00","0.00","0","o"
"YP_006986421.1","64","0.00","0.00","0","o"
"YP_006986422.1","448","0.41","0.01","0","o"
"YP_006986423.1","174","0.04","0.00","0","o"
"YP_006986424.1","156","0.01","0.00","0","o"
"YP_006986425.1","131","0.00","0.00","0","o"
"YP_006986426.1","132","0.00","0.00","0","o"
"YP_006986427.1","106","0.00","0.00","0","i"
"YP_006986428.1","87","0.00","0.00","0","o"
"YP_006986429.1","87","2.63","2.63","0","o"
"YP_006986430.1","142","0.13","0.00","0","o"
"YP_006986431.1","117","0.03","0.00","0","o"
"YP_006986432.1","126","0.00","0.00","0","i"
"YP_006986433.1","97","0.04","0.01","0","o"
"YP_006986434.1","389","0.02","0.00","0","o"
"YP_006986435.1","67","0.00","0.00","0","o"
"YP_006986436.1","86","0.00","0.00","0","o"
"YP_006986437.1","66","0.00","0.00","0","o"
"YP_006986438.1","48","0.00","0.00","0","o"
"YP_006986439.1","83","0.00","0.00","0","i"
"YP_006986440.1","92","0.00","0.00","0","o"
"YP_006986441.1","196","0.00","0.00","0","o"
"YP_006986442.1","134","0.35","0.00","0","o"
"YP_006986443.1","38","0.00","0.00","0","o"
"YP_006986444.1","93","0.14","0.00","0","o"
"YP_006986445.1","102","0.01","0.00","0","o"
"YP_006986446.1","177","4.29","0.64","0","o"
"YP_006986447.1","109","21.64","0.00","1","i84-106o"
"YP_006986448.1","86","0.00","0.00","0","o"
"YP_006986449.1","126","0.51","0.01","0","o"
"YP_006986450.1","137","0.01","0.01","0","o"
"YP_006986451.1","79","0.00","0.00","0","i"
"YP_006986452.1","88","0.04","0.04","0","o"
"YP_006986453.1","100","0.76","0.48","0","o"
"YP_006986454.1","112","0.02","0.02","0","o"
"YP_006986455.1","46","26.12","26.12","1","o15-37i"
"YP_006986456.1","46","0.07","0.07","0","o"
"YP_006986457.1","179","0.05","0.00","0","o"
"YP_006986458.1","207","0.00","0.00","0","o"
"YP_006986459.1","88","0.01","0.00","0","i"
"YP_006986460.1","222","0.01","0.00","0","o"
"YP_006986461.1","179","0.10","0.00","0","o"
"YP_006986462.1","263","0.00","0.00","0","o"
"YP_006986463.1","284","0.02","0.00","0","o"
"YP_006986464.1","229","0.00","0.00","0","o"
"YP_006986465.1","146","0.00","0.00","0","o"
"YP_006986466.1","184","0.00","0.00","0","o"
"YP_006986467.1","588","0.12","0.00","0","o"
"YP_006986468.1","695","10.49","0.01","0","o"
"YP_006986469.1","637","0.98","0.70","0","o"
"YP_006986470.1","1026","17.52","0.01","1","o879-901i"
"YP_006986471.1","330","0.01","0.00","0","o"
"YP_006986472.1","287","0.19","0.12","0","o"
"YP_006986473.1","605","0.00","0.00","0","o"
"YP_006986474.1","220","0.01","0.00","0","o"
"YP_006986475.1","462","0.11","0.00","0","o"
"YP_006986476.1","679","0.00","0.00","0","o"
"YP_006986477.1","307","0.50","0.00","0","o"
"YP_006986478.1","248","0.00","0.00","0","o"
"YP_006986479.1","273","0.41","0.41","0","o"
"YP_006986480.1","179","0.00","0.00","0","o"
"YP_006986481.1","609","0.04","0.00","0","o"
"YP_006986482.1","663","0.04","0.00","0","o"
"YP_006986483.1","161","0.00","0.00","0","o"
"YP_006986484.1","524","0.00","0.00","0","o"
"YP_006986485.1","84","0.00","0.00","0","o"
"YP_006986486.1","135","0.00","0.00","0","o"
"YP_006986487.1","219","0.00","0.00","0","o"
"YP_006986488.1","264","0.00","0.00","0","o"
"YP_006986489.1","524","0.59","0.00","0","o"
"YP_006986490.1","211","0.02","0.00","0","o"
"YP_006986491.1","432","0.23","0.00","0","o"
"YP_006986492.1","140","0.00","0.00","0","o"
"YP_006986493.1","60","0.43","0.43","0","o"
"YP_006986494.1","45","0.01","0.01","0","i"
"YP_006986495.1","76","0.00","0.00","0","o"
"YP_006986496.1","499","0.80","0.15","0","o"
"YP_006986497.1","219","0.01","0.00","0","o"
"YP_006986498.1","115","0.03","0.03","0","o"
"YP_006986499.1","106","0.00","0.00","0","i"
"YP_006986500.1","167","1.39","1.36","0","o"
"YP_006986501.1","166","0.00","0.00","0","o"
"YP_006986502.1","155","0.00","0.00","0","o"
"YP_006986503.1","277","0.17","0.17","0","o"
"YP_006986504.1","289","0.02","0.00","0","o"
"YP_006986505.1","105","0.07","0.05","0","o"
"YP_006986506.1","57","39.95","39.95","2","i5-27o31-50i"
"YP_006986507.1","121","0.19","0.00","0","o"
"YP_006986508.1","108","0.05","0.04","0","o"
"YP_006986509.1","114","0.00","0.00","0","o"
"YP_006986510.1","180","0.01","0.00","0","o"
"YP_006986511.1","348","0.69","0.51","0","o"
"YP_006986512.1","193","0.03","0.02","0","o"
"YP_006986513.1","147","0.00","0.00","0","o"
"YP_006986514.1","83","0.06","0.06","0","o"
"YP_006986515.1","154","0.00","0.00","0","o"
"YP_006986516.1","477","0.03","0.00","0","o"
"YP_006986517.1","102","0.00","0.00","0","o"
"YP_006986518.1","283","0.02","0.02","0","o"
"YP_006986519.1","89","0.01","0.01","0","o"
"YP_006986520.1","160","0.01","0.00","0","i"
"YP_006986521.1","703","0.05","0.04","0","o"
"YP_006986522.1","283","0.00","0.00","0","o"
"YP_006986523.1","198","0.00","0.00","0","o"
"YP_006986524.1","315","0.01","0.00","0","o"
"YP_006986525.1","94","0.02","0.00","0","i"
"YP_006986526.1","64","0.00","0.00","0","i"
"YP_006986527.1","176","0.00","0.00","0","o"
"YP_006986528.1","163","0.00","0.00","0","o"
"YP_006986529.1","69","0.01","0.01","0","o"
"YP_006986530.1","317","0.00","0.00","0","o"
"YP_006986531.1","244","0.01","0.00","0","o"
"YP_006986532.1","92","0.00","0.00","0","o"
"YP_006986533.1","112","0.01","0.00","0","o"
"YP_006986534.1","475","0.04","0.00","0","o"
"YP_006986535.1","1219","0.31","0.06","0","o"
"YP_006986536.1","530","0.05","0.00","0","o"
"YP_006986537.1","715","0.08","0.03","0","o"
"YP_006986538.1","736","0.06","0.00","0","o"
"YP_006986539.1","172","0.25","0.25","0","o"
"YP_006986540.1","214","20.89","19.23","1","i27-45o"
"YP_006986541.1","91","0.43","0.43","0","o"
"YP_006986542.1","100","0.00","0.00","0","o"
"YP_006986543.1","146","0.10","0.09","0","o"
"YP_006986544.1","75","0.00","0.00","0","o"
"YP_006986545.1","109","0.00","0.00","0","o"
"YP_006986546.1","45","0.00","0.00","0","i"
"YP_006986547.1","76","0.00","0.00","0","o"
"YP_006986548.1","84","0.00","0.00","0","o"
"YP_006986549.1","126","0.24","0.01","0","o"
"YP_006986550.1","137","44.04","10.82","2","o49-71i92-114o"
"YP_006986551.1","280","0.00","0.00","0","o"
"YP_006986834.1","664","0.14","0.13","0","o"
"YP_006986835.1","57","37.80","37.80","2","i3-25o29-44i"
"YP_006986836.1","180","7.26","7.25","0","o"
"YP_006986837.1","136","0.59","0.56","0","o"
"YP_006986838.1","75","0.00","0.00","0","i"
"YP_006986839.1","59","0.00","0.00","0","o"
"YP_006986840.1","348","0.02","0.02","0","o"
"YP_006986841.1","121","0.69","0.01","0","o"
"YP_006986842.1","90","0.02","0.01","0","o"
"YP_006986843.1","80","0.02","0.02","0","i"
"YP_006986844.1","66","0.09","0.09","0","o"
"YP_006986845.1","60","39.95","39.95","2","i2-18o33-55i"
"YP_006986846.1","164","1.56","1.45","0","o"
"YP_006986847.1","170","0.01","0.00","0","o"
"YP_006986848.1","70","0.08","0.08","0","o"
"YP_006986849.1","58","0.00","0.00","0","o"
"YP_006986850.1","91","0.01","0.01","0","o"
"YP_006986851.1","65","0.00","0.00","0","o"
"YP_006986852.1","97","0.00","0.00","0","o"
"YP_006986853.1","50","0.00","0.00","0","i"
"YP_006986854.1","63","0.00","0.00","0","o"
"YP_006986855.1","113","0.27","0.27","0","i"
"YP_006986856.1","229","0.02","0.01","0","o"
"YP_006986857.1","402","0.07","0.06","0","o"
"YP_006986858.1","80","0.02","0.02","0","o"
"YP_006986859.1","123","0.00","0.00","0","o"
"YP_006986860.1","165","0.01","0.00","0","o"
"YP_006986861.1","69","0.00","0.00","0","i"
"YP_006986862.1","118","0.01","0.01","0","o"
"YP_006986863.1","172","0.01","0.01","0","o"
"YP_006986864.1","370","0.02","0.02","0","o"
"YP_006986865.1","310","0.01","0.00","0","o"
"YP_006986866.1","86","0.24","0.24","0","o"
"YP_006986867.1","478","0.09","0.08","0","o"
"YP_006986868.1","128","1.72","1.72","0","o"
"YP_006986869.1","98","0.04","0.04","0","o"
"YP_006986870.1","67","19.95","19.95","1","i7-25o"
"YP_006986871.1","58","0.01","0.01","0","o"
"YP_006986872.1","214","39.30","20.43","2","o20-39i131-149o"
"YP_006986873.1","112","0.00","0.00","0","o"
"YP_006986874.1","67","0.03","0.03","0","o"
"YP_006986875.1","112","0.03","0.03","0","o"
"YP_006986876.1","49","1.53","1.53","0","o"
"YP_006986877.1","274","0.01","0.00","0","o"
"YP_006986878.1","43","1.55","1.55","0","o"
"YP_006986879.1","93","0.46","0.44","0","o"
"YP_006986880.1","63","0.01","0.01","0","o"
"YP_006986881.1","176","0.02","0.00","0","o"
"YP_006986882.1","98","0.00","0.00","0","o"
"YP_006986883.1","109","0.00","0.00","0","o"
"YP_006986884.1","65","0.00","0.00","0","i"
"YP_006986885.1","97","0.00","0.00","0","i"
"YP_006986886.1","132","0.01","0.00","0","o"
"YP_006986887.1","47","0.00","0.00","0","i"
"YP_006986888.1","60","0.00","0.00","0","o"
"YP_006986889.1","75","12.42","12.42","1","i21-38o"
"YP_006986890.1","188","12.20","0.00","0","o"
"YP_006986891.1","115","7.48","7.48","0","o"
"YP_006986892.1","67","0.00","0.00","0","i"
"YP_006986893.1","96","0.26","0.26","0","i"
"YP_006986894.1","72","0.00","0.00","0","o"
"YP_006986895.1","98","0.00","0.00","0","o"
"YP_006986896.1","38","18.33","18.33","1","i20-37o"
"YP_006986897.1","113","0.00","0.00","0","o"
"YP_006986898.1","77","0.00","0.00","0","i"
"YP_006986899.1","110","0.39","0.00","0","i"
"YP_006986900.1","129","0.06","0.06","0","o"
"YP_006986901.1","74","0.02","0.01","0","i"
"YP_006986902.1","54","0.00","0.00","0","o"
"YP_006986903.1","158","0.01","0.00","0","o"
"YP_006986904.1","105","0.00","0.00","0","o"
"YP_006986905.1","40","0.00","0.00","0","o"
"YP_006986906.1","121","0.00","0.00","0","o"
"YP_006986907.1","107","0.05","0.00","0","o"
"YP_006986908.1","88","0.00","0.00","0","o"
"YP_006986909.1","48","0.01","0.01","0","o"
"YP_006986910.1","52","0.00","0.00","0","o"
"YP_006986911.1","117","0.00","0.00","0","o"
"YP_006986912.1","79","3.38","3.38","0","i"
"YP_006986913.1","60","23.28","23.28","1","i3-25o"
"YP_006986914.1","37","23.10","23.10","1","i7-29o"
"YP_006986915.1","142","0.00","0.00","0","o"
"YP_006986916.1","94","0.00","0.00","0","i"
"YP_006986917.1","63","42.80","42.07","2","i7-29o39-61i"
"YP_006986918.1","141","1.96","1.02","0","o"
"YP_006986919.1","129","0.01","0.01","0","o"
"YP_006986920.1","79","0.03","0.02","0","i"
"YP_006986921.1","75","1.39","1.39","0","i"
"YP_006986922.1","94","0.00","0.00","0","o"
"YP_006986923.1","59","0.00","0.00","0","i"
"YP_006986924.1","46","22.98","22.98","1","i20-42o"
"YP_006986925.1","55","40.21","40.21","2","o4-23i30-49o"
"YP_006986926.1","81","0.00","0.00","0","o"
"YP_006986927.1","64","0.86","0.86","0","i"
"YP_006986928.1","38","23.05","23.05","1","i7-29o"
"YP_006986929.1","217","0.81","0.00","0","o"
"YP_006986930.1","49","0.00","0.00","0","o"
"YP_006986931.1","57","0.00","0.00","0","i"
"YP_006986932.1","64","42.16","42.16","2","i12-29o34-56i"
"YP_006986933.1","82","0.01","0.01","0","o"
"YP_006986934.1","85","0.00","0.00","0","i"
"YP_006986935.1","52","0.00","0.00","0","i"
"YP_006986936.1","69","0.00","0.00","0","o"
"YP_006986937.1","382","0.00","0.00","0","o"
"YP_006986938.1","82","0.00","0.00","0","o"
"YP_006986939.1","104","0.00","0.00","0","o"
"YP_006986940.1","164","0.62","0.62","0","o"
"YP_006986941.1","131","0.00","0.00","0","i"
"YP_006986942.1","203","0.01","0.00","0","o"
"YP_006986943.1","160","19.90","0.00","1","i142-159o"
"YP_006986944.1","216","0.13","0.00","0","o"
"YP_006986945.1","76","0.00","0.00","0","o"
"YP_006986946.1","51","0.00","0.00","0","o"
"YP_006986947.1","58","0.00","0.00","0","o"
"YP_006986948.1","56","18.80","18.80","1","o31-48i"
"YP_006986949.1","357","0.09","0.00","0","o"
"YP_006986950.1","109","0.00","0.00","0","o"
"YP_006986951.1","58","1.06","1.06","0","o"
"YP_006986952.1","111","67.64","36.94","3","i5-22o47-69i90-109o"
"YP_006986953.1","162","1.22","1.16","0","i"
"YP_006986954.1","75","44.51","43.10","2","i5-27o42-64i"
"YP_006986955.1","104","65.17","32.21","3","i13-35o50-72i77-96o"
"YP_006986956.1","68","0.00","0.00","0","i"
"YP_006986957.1","417","0.00","0.00","0","o"
"YP_006986958.1","88","0.00","0.00","0","i"
"YP_006986959.1","103","0.99","0.99","0","i"
"YP_006986960.1","83","0.00","0.00","0","o"
"YP_006986961.1","50","0.00","0.00","0","o"
"YP_006986962.1","129","0.00","0.00","0","o"
"YP_006986963.1","72","0.45","0.45","0","i"
"YP_006986964.1","90","0.00","0.00","0","o"
"YP_006986965.1","49","0.12","0.12","0","o"
"YP_006986966.1","226","0.01","0.00","0","o"
"YP_006986967.1","310","0.94","0.14","0","o"
"YP_006986968.1","160","0.00","0.00","0","o"
"YP_006986969.1","102","0.00","0.00","0","i"
"YP_006986970.1","210","0.00","0.00","0","o"
"YP_006986971.1","266","0.45","0.01","0","o"
"YP_006986972.1","184","0.00","0.00","0","o"
"YP_006986973.1","143","0.00","0.00","0","o"
"YP_006986974.1","46","0.00","0.00","0","i"
"YP_006986975.1","88","0.00","0.00","0","o"
"YP_006986976.1","118","0.58","0.48","0","o"
"YP_006986977.1","362","5.37","0.00","0","o"
"YP_006986978.1","771","0.48","0.00","0","o"
"YP_006986979.1","76","0.00","0.00","0","i"
"YP_006986980.1","158","0.00","0.00","0","i"
"YP_006986981.1","332","0.00","0.00","0","o"
"YP_006986982.1","107","0.01","0.01","0","o"
"YP_006986983.1","64","0.02","0.02","0","i"
"YP_006986984.1","200","0.00","0.00","0","o"
"YP_006986985.1","201","0.00","0.00","0","o"
"YP_006986986.1","324","0.00","0.00","0","o"
"YP_006986987.1","70","0.01","0.01","0","o"
"YP_006986988.1","182","0.01","0.00","0","o"
"YP_006986989.1","211","0.06","0.01","0","o"
"YP_006986990.1","101","0.03","0.02","0","o"
"YP_006986991.1","373","0.01","0.00","0","o"
"YP_006986992.1","145","0.00","0.00","0","o"
"YP_006986993.1","168","0.22","0.22","0","o"
"YP_006986994.1","64","12.20","12.20","0","o"
"YP_006986995.1","296","10.41","10.40","0","o"
"YP_006986996.1","54","0.00","0.00","0","o"
"YP_006986997.1","67","42.57","42.57","2","i7-26o31-53i"
"YP_006986998.1","119","0.00","0.00","0","o"
"YP_006986999.1","73","0.39","0.34","0","o"
"YP_006987000.1","229","0.00","0.00","0","o"
"YP_006987001.1","123","42.62","37.40","2","o4-23i44-66o"
"YP_006987002.1","148","0.00","0.00","0","o"
"YP_006987003.1","434","0.01","0.00","0","o"
"YP_006987004.1","74","0.00","0.00","0","o"
"YP_006987005.1","135","0.01","0.01","0","o"
"YP_006987006.1","114","0.03","0.00","0","o"
"YP_006987007.1","78","44.91","35.80","2","i21-43o48-70i"
"YP_006987008.1","320","0.00","0.00","0","o"
"YP_006987009.1","118","0.05","0.05","0","o"
"YP_006987010.1","197","0.00","0.00","0","o"
"YP_006987011.1","79","0.00","0.00","0","i"
"YP_006987012.1","94","0.00","0.00","0","i"
"YP_006987013.1","91","0.01","0.01","0","i"
"YP_006987014.1","114","0.00","0.00","0","o"
"YP_006987015.1","105","0.03","0.03","0","o"
"YP_006987016.1","270","0.07","0.00","0","o"
"YP_006987017.1","177","0.00","0.00","0","o"
"YP_006987018.1","567","0.07","0.02","0","o"
"YP_006987019.1","103","0.00","0.00","0","o"
"YP_006987020.1","69","0.00","0.00","0","i"
"YP_006987021.1","81","0.02","0.02","0","o"
"YP_006987022.1","62","0.00","0.00","0","o"
"YP_006987023.1","55","0.00","0.00","0","o"
"YP_006987024.1","109","0.00","0.00","0","i"
"YP_006987025.1","203","0.00","0.00","0","o"
"YP_006987026.1","215","0.01","0.00","0","o"
"YP_006987027.1","121","0.00","0.00","0","i"
"YP_006987028.1","51","0.00","0.00","0","i"
"YP_006987029.1","474","0.00","0.00","0","o"
"YP_006987030.1","134","19.31","19.31","1","o18-40i"
"YP_006987031.1","96","0.08","0.08","0","o"
"YP_006987032.1","499","0.92","0.92","0","o"
"YP_006987033.1","516","0.00","0.00","0","o"
"YP_006987034.1","208","0.00","0.00","0","o"
"YP_006987035.1","333","0.00","0.00","0","o"
"YP_006987036.1","139","1.32","0.04","0","o"
"YP_006987037.1","337","0.09","0.01","0","o"
"YP_006987038.1","174","0.06","0.05","0","o"
"YP_006987039.1","585","2.69","0.00","0","o"
"YP_006987040.1","214","0.00","0.00","0","o"
"YP_006987041.1","129","0.20","0.16","0","o"
"YP_006987042.1","134","20.30","19.73","1","i7-26o"
"YP_006987043.1","172","0.06","0.03","0","o"
"YP_006987044.1","158","0.14","0.00","0","o"
"YP_006987045.1","144","0.01","0.00","0","o"
"YP_006987046.1","176","0.05","0.00","0","o"
"YP_006987047.1","470","1.18","0.02","0","o"
"YP_006987048.1","157","3.06","0.02","0","o"
"YP_006987049.1","157","1.04","1.03","0","o"
"YP_006987050.1","88","0.00","0.00","0","o"
"YP_006987051.1","797","38.04","0.00","0","o"
"YP_006987052.1","290","0.00","0.00","0","o"
"YP_006987053.1","116","0.04","0.03","0","o"
"YP_006987054.1","329","0.01","0.00","0","o"
"YP_006987055.1","233","0.00","0.00","0","o"
"YP_006987056.1","205","0.04","0.04","0","o"
"YP_006987057.1","223","0.08","0.01","0","o"
"YP_006987058.1","929","0.99","0.00","0","o"
"YP_006987059.1","712","0.02","0.00","0","o"
"YP_006987060.1","497","2.87","0.48","0","o"
"YP_006987061.1","210","0.02","0.00","0","o"
"YP_006987062.1","370","0.07","0.00","0","o"
"YP_006987063.1","171","0.11","0.06","0","o"
"YP_006987064.1","104","21.87","21.87","1","o5-27i"
"YP_006987065.1","157","75.77","31.11","3","i21-43o58-77i89-111o"
"YP_006987066.1","89","30.14","21.88","2","i27-45o55-77i"
"YP_006987067.1","602","0.45","0.00","0","o"
"YP_006987068.1","567","0.14","0.06","0","o"
"YP_006987069.1","393","0.00","0.00","0","o"
"YP_006987070.1","115","1.54","1.53","0","o"
"YP_006987071.1","68","46.10","45.61","2","i7-29o39-61i"
"YP_006987072.1","73","0.23","0.12","0","o"
"YP_006987073.1","190","0.92","0.92","0","o"
"YP_006987074.1","98","0.02","0.00","0","i"
"YP_006987075.1","95","0.05","0.00","0","o"
"YP_006987076.1","123","43.10","41.60","2","o15-33i40-62o"
"YP_006987077.1","189","2.03","1.89","0","i"
"YP_006987078.1","59","45.06","45.06","2","o5-27i34-56o"
"YP_006987079.1","235","130.53","27.83","6","i21-43o65-87i133-152o157-176i183-202o206-225i"
"YP_006987080.1","76","0.00","0.00","0","o"
"YP_006987081.1","95","0.01","0.01","0","o"
"YP_006987082.1","112","0.00","0.00","0","o"
"YP_006987083.1","143","0.05","0.04","0","o"
"YP_006987084.1","357","0.84","0.84","0","o"
"YP_006987085.1","90","0.44","0.44","0","o"
"YP_006987086.1","105","0.01","0.01","0","o"
"YP_006987087.1","68","20.90","20.90","1","i7-29o"
"YP_006987088.1","72","45.19","38.27","2","i13-35o45-67i"
"YP_006987089.1","132","0.00","0.00","0","i"
"YP_006987090.1","66","0.00","0.00","0","i"
"YP_006987091.1","904","0.04","0.00","0","o"
"YP_006987092.1","165","0.00","0.00","0","o"
"YP_006987093.1","685","0.01","0.00","0","o"
"YP_006987094.1","48","0.95","0.95","0","i"
"YP_006987095.1","230","0.04","0.04","0","o"
"YP_006987096.1","93","0.00","0.00","0","o"
"YP_006987097.1","93","0.00","0.00","0","o"
"YP_006987098.1","107","0.01","0.00","0","o"
"YP_006987099.1","59","0.00","0.00","0","o"
"YP_006987100.1","169","0.00","0.00","0","o"
"YP_006987101.1","435","9.91","5.20","0","o"
"YP_006987102.1","406","0.00","0.00","0","o"
"YP_006990203.1","151","0.00","0.00","0","o"
"YP_006990204.1","45","0.01","0.01","0","i"
"YP_006990205.1","173","0.01","0.00","0","o"
"YP_006990206.1","376","0.06","0.02","0","o"
"YP_006990207.1","883","0.02","0.00","0","o"
"YP_006990208.1","40","0.00","0.00","0","i"
"YP_006990209.1","79","0.01","0.01","0","o"
"YP_006990210.1","340","0.09","0.00","0","o"
"YP_006990211.1","89","0.19","0.18","0","o"
"YP_006990212.1","102","0.00","0.00","0","o"
"YP_006990213.1","63","0.00","0.00","0","i"
"YP_006990214.1","90","0.00","0.00","0","i"
"YP_006990215.1","230","0.00","0.00","0","o"
"YP_006990216.1","151","0.00","0.00","0","o"
"YP_006990217.1","151","0.00","0.00","0","o"
"YP_006990218.1","503","0.02","0.00","0","o"
"YP_006990219.1","72","0.00","0.00","0","o"
"YP_006990220.1","90","0.02","0.01","0","o"
"YP_006990221.1","142","0.01","0.00","0","o"
"YP_006990222.1","704","0.02","0.00","0","o"
"YP_006990223.1","100","0.00","0.00","0","i"
"YP_006990224.1","69","0.01","0.01","0","o"
"YP_006990225.1","76","0.00","0.00","0","i"
"YP_006990226.1","304","0.00","0.00","0","o"
"YP_006990227.1","82","0.01","0.01","0","o"
"YP_006990228.1","84","0.00","0.00","0","o"
"YP_006990229.1","136","0.18","0.17","0","o"
"YP_006990230.1","93","0.00","0.00","0","i"
"YP_006990231.1","536","0.10","0.00","0","o"
"YP_006990232.1","307","0.01","0.01","0","o"
"YP_006990233.1","345","0.36","0.35","0","o"
"YP_006990234.1","54","0.00","0.00","0","o"
"YP_006990235.1","196","0.01","0.00","0","o"
"YP_006990236.1","793","0.08","0.00","0","o"
"YP_006990237.1","135","0.54","0.00","0","o"
"YP_006990238.1","196","0.19","0.15","0","o"
"YP_006990239.1","751","0.00","0.00","0","o"
"YP_006990240.1","1320","8.09","0.00","0","o"
"YP_006990241.1","580","0.24","0.02","0","o"
"YP_006990242.1","40","22.49","22.49","1","i12-34o"
"YP_006990243.1","67","17.65","17.65","0","o"
"YP_006990244.1","92","0.01","0.01","0","i"
"YP_006990245.1","145","14.15","14.15","1","i7-24o"
"YP_006990246.1","586","19.44","10.43","0","o"
"YP_006990247.1","50","21.40","21.40","1","i13-35o"
"YP_006990606.1","474","6.35","6.28","0","o"
"YP_006990607.1","84","0.01","0.01","0","o"
"YP_006990608.1","98","20.73","0.00","1","i64-86o"
"YP_006990609.1","86","40.86","25.92","2","i21-40o55-77i"
"YP_006990610.1","211","20.80","20.78","1","i7-29o"
"YP_006990611.1","166","20.04","20.04","1","o4-26i"
"YP_006990612.1","756","0.00","0.00","0","o"
"YP_006990613.1","114","0.00","0.00","0","o"
"YP_006990614.1","406","0.00","0.00","0","o"
"YP_006990615.1","400","0.01","0.00","0","o"
"YP_006990616.1","211","0.00","0.00","0","o"
"YP_006990617.1","278","0.07","0.00","0","o"
"YP_006990618.1","880","83.32","1.03","3","o670-692i704-726o741-763i"
"YP_006990619.1","147","10.98","3.55","0","o"
